constraint_definition;constraint_name;initially_deferred;is_deferrable;match_type;on_delete;on_update;source_columns;source_schema;source_table;target_columns;target_schema;target_table
FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE;credit_transactions_customer_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;customer_id;public;credit_transactions;id;public;customers
FOREIGN KEY (achievement_id) REFERENCES loyalty_achievements(id) ON DELETE CASCADE;customer_achievements_achievement_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;achievement_id;public;customer_achievements;id;public;loyalty_achievements
FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE;customer_achievements_customer_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;customer_id;public;customer_achievements;id;public;customers
FOREIGN KEY (appointment_id) REFERENCES appointments(id);customer_credits_appointment_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;appointment_id;public;customer_credits;id;public;appointments
FOREIGN KEY (customer_id) REFERENCES customers(id);customer_credits_customer_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;customer_id;public;customer_credits;id;public;customers
FOREIGN KEY (tenant_id) REFERENCES profiles(id);customer_credits_tenant_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;tenant_id;public;customer_credits;id;public;profiles
FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE;customer_documents_customer_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;customer_id;public;customer_documents;id;public;customers
FOREIGN KEY (tenant_id) REFERENCES profiles(id);customer_documents_tenant_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;tenant_id;public;customer_documents;id;public;profiles
FOREIGN KEY (author_id) REFERENCES profiles(id);customer_interactions_author_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;author_id;public;customer_interactions;id;public;profiles
FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE;customer_interactions_customer_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;customer_id;public;customer_interactions;id;public;customers
FOREIGN KEY (tenant_id) REFERENCES profiles(id);customer_interactions_tenant_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;tenant_id;public;customer_interactions;id;public;profiles
FOREIGN KEY (coupon_id) REFERENCES coupons(id) ON DELETE SET NULL;customer_subscriptions_coupon_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;coupon_id;public;customer_subscriptions;id;public;coupons
FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE;customer_subscriptions_customer_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;customer_id;public;customer_subscriptions;id;public;customers
FOREIGN KEY (gateway_id) REFERENCES payment_gateways(id) ON DELETE SET NULL;customer_subscriptions_gateway_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;gateway_id;public;customer_subscriptions;id;public;payment_gateways
FOREIGN KEY (plan_id) REFERENCES subscription_plans(id) ON DELETE RESTRICT;customer_subscriptions_plan_id_fkey;false;false;SIMPLE;RESTRICT;NO ACTION;plan_id;public;customer_subscriptions;id;public;subscription_plans
FOREIGN KEY (referred_by_subscription_id) REFERENCES customer_subscriptions(id) ON DELETE SET NULL;customer_subscriptions_referred_by_subscription_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;referred_by_subscription_id;public;customer_subscriptions;id;public;customer_subscriptions
FOREIGN KEY (author_id) REFERENCES profiles(id);customer_tasks_author_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;author_id;public;customer_tasks;id;public;profiles
FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE;customer_tasks_customer_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;customer_id;public;customer_tasks;id;public;customers
FOREIGN KEY (tenant_id) REFERENCES profiles(id);customer_tasks_tenant_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;tenant_id;public;customer_tasks;id;public;profiles
FOREIGN KEY (auth_user_id) REFERENCES auth.users(id);customers_auth_user_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;auth_user_id;public;customers;id;auth;users
FOREIGN KEY (barber_id) REFERENCES barbers(id);customers_barber_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;barber_id;public;customers;id;public;barbers
FOREIGN KEY (loyalty_level_id) REFERENCES loyalty_levels(id);customers_loyalty_level_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;loyalty_level_id;public;customers;id;public;loyalty_levels
FOREIGN KEY (tenant_id) REFERENCES profiles(id);customers_tenant_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;tenant_id;public;customers;id;public;profiles
FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE;customers_user_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;user_id;public;customers;id;auth;users
FOREIGN KEY (tenant_id) REFERENCES profiles(id) ON DELETE SET NULL;email_logs_tenant_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;tenant_id;public;email_logs;id;public;profiles
FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE SET NULL;email_logs_user_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;user_id;public;email_logs;id;auth;users
FOREIGN KEY (tenant_id) REFERENCES profiles(id) ON DELETE CASCADE;email_settings_tenant_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;tenant_id;public;email_settings;id;public;profiles
FOREIGN KEY (adjusted_by) REFERENCES auth.users(id);financial_adjustment_logs_adjusted_by_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;adjusted_by;public;financial_adjustment_logs;id;auth;users
FOREIGN KEY (appointment_id) REFERENCES appointments(id);financial_adjustment_logs_appointment_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;appointment_id;public;financial_adjustment_logs;id;public;appointments
FOREIGN KEY (tenant_id) REFERENCES barbershops(id);financial_adjustment_logs_tenant_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;tenant_id;public;financial_adjustment_logs;id;public;barbershops
FOREIGN KEY (transaction_id) REFERENCES transactions(id);financial_adjustment_logs_transaction_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;transaction_id;public;financial_adjustment_logs;id;public;transactions
FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE SET NULL;lgpd_requests_customer_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;customer_id;public;lgpd_requests;id;public;customers
FOREIGN KEY (tenant_id) REFERENCES profiles(id) ON DELETE SET NULL;lgpd_requests_tenant_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;tenant_id;public;lgpd_requests;id;public;profiles
FOREIGN KEY (campaign_id) REFERENCES loyalty_campaigns(id) ON DELETE CASCADE;loyalty_campaign_participations_campaign_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;campaign_id;public;loyalty_campaign_participations;id;public;loyalty_campaigns
FOREIGN KEY (template_slug) REFERENCES loyalty_campaign_templates(slug) ON DELETE SET NULL;loyalty_campaigns_template_slug_fkey;false;false;SIMPLE;SET NULL;NO ACTION;template_slug;public;loyalty_campaigns;slug;public;loyalty_campaign_templates
FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE;loyalty_rewards_customer_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;customer_id;public;loyalty_rewards;id;public;customers
FOREIGN KEY (tenant_id) REFERENCES profiles(id) ON DELETE CASCADE;marketing_audiences_tenant_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;tenant_id;public;marketing_audiences;id;public;profiles
FOREIGN KEY (barber_id) REFERENCES barbers(id) ON DELETE CASCADE;notification_recipients_barber_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;barber_id;public;notification_recipients;id;public;barbers
FOREIGN KEY (barber_id) REFERENCES barbers(id) ON DELETE CASCADE;notifications_barber_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;barber_id;public;notifications;id;public;barbers
FOREIGN KEY (customer_id) REFERENCES customers(id);notifications_customer_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;customer_id;public;notifications;id;public;customers
FOREIGN KEY (tenant_id) REFERENCES profiles(id);notifications_tenant_id_fkey;false;false;SIMPLE;NO ACTION;NO ACTION;tenant_id;public;notifications;id;public;profiles
FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE;notifications_user_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;user_id;public;notifications;id;auth;users
