index_definition;index_name;schema_name;table_name
CREATE UNIQUE INDEX barber_services_barber_id_service_id_key ON public.barber_services USING btree (barber_id, service_id);barber_services_barber_id_service_id_key;public;barber_services
CREATE UNIQUE INDEX barber_services_pkey ON public.barber_services USING btree (id);barber_services_pkey;public;barber_services
CREATE INDEX idx_barber_services_barber_id ON public.barber_services USING btree (barber_id);idx_barber_services_barber_id;public;barber_services
CREATE INDEX idx_barber_services_service_id ON public.barber_services USING btree (service_id);idx_barber_services_service_id;public;barber_services
CREATE INDEX idx_barber_services_tenant_id ON public.barber_services USING btree (tenant_id);idx_barber_services_tenant_id;public;barber_services
CREATE INDEX idx_barber_services_user_id ON public.barber_services USING btree (user_id);idx_barber_services_user_id;public;barber_services
CREATE INDEX barber_tips_barber_idx ON public.barber_tips USING btree (barber_id, created_at DESC);barber_tips_barber_idx;public;barber_tips
CREATE UNIQUE INDEX barber_tips_pkey ON public.barber_tips USING btree (id);barber_tips_pkey;public;barber_tips
CREATE INDEX barber_tips_tenant_idx ON public.barber_tips USING btree (tenant_id, created_at DESC);barber_tips_tenant_idx;public;barber_tips
CREATE UNIQUE INDEX barbers_pkey ON public.barbers USING btree (id);barbers_pkey;public;barbers
CREATE INDEX idx_barbers_tenant_id ON public.barbers USING btree (tenant_id);idx_barbers_tenant_id;public;barbers
CREATE UNIQUE INDEX barbershop_module_logs_pkey ON public.barbershop_module_logs USING btree (id);barbershop_module_logs_pkey;public;barbershop_module_logs
CREATE INDEX idx_barbershop_module_logs_tenant ON public.barbershop_module_logs USING btree (tenant_id);idx_barbershop_module_logs_tenant;public;barbershop_module_logs
CREATE UNIQUE INDEX barbershop_modules_pkey ON public.barbershop_modules USING btree (id);barbershop_modules_pkey;public;barbershop_modules
CREATE UNIQUE INDEX barbershop_modules_tenant_id_module_key_key ON public.barbershop_modules USING btree (tenant_id, module_key);barbershop_modules_tenant_id_module_key_key;public;barbershop_modules
CREATE INDEX idx_barbershop_modules_tenant ON public.barbershop_modules USING btree (tenant_id);idx_barbershop_modules_tenant;public;barbershop_modules
CREATE UNIQUE INDEX barbershop_settings_barber_id_key ON public.barbershop_settings USING btree (barber_id);barbershop_settings_barber_id_key;public;barbershop_settings
CREATE UNIQUE INDEX barbershop_settings_pkey ON public.barbershop_settings USING btree (id);barbershop_settings_pkey;public;barbershop_settings
CREATE UNIQUE INDEX barbershops_owner_id_key ON public.barbershops USING btree (owner_id);barbershops_owner_id_key;public;barbershops
CREATE UNIQUE INDEX barbershops_pkey ON public.barbershops USING btree (id);barbershops_pkey;public;barbershops
CREATE UNIQUE INDEX barbershops_slug_key ON public.barbershops USING btree (slug);barbershops_slug_key;public;barbershops
CREATE UNIQUE INDEX campaign_logs_pkey ON public.campaign_logs USING btree (id);campaign_logs_pkey;public;campaign_logs
CREATE UNIQUE INDEX campaigns_pkey ON public.campaigns USING btree (id);campaigns_pkey;public;campaigns
CREATE UNIQUE INDEX cashback_transactions_pkey ON public.cashback_transactions USING btree (id);cashback_transactions_pkey;public;cashback_transactions
CREATE UNIQUE INDEX unique_cashback_per_appointment ON public.cashback_transactions USING btree (appointment_id);unique_cashback_per_appointment;public;cashback_transactions
CREATE UNIQUE INDEX client_auth_phone_key ON public.client_auth USING btree (phone);client_auth_phone_key;public;client_auth
CREATE UNIQUE INDEX client_auth_phone_unique ON public.client_auth USING btree (phone);client_auth_phone_unique;public;client_auth
CREATE UNIQUE INDEX client_auth_pkey ON public.client_auth USING btree (id);client_auth_pkey;public;client_auth
CREATE INDEX idx_client_auth_customer_id ON public.client_auth USING btree (customer_id);idx_client_auth_customer_id;public;client_auth
CREATE INDEX idx_client_auth_phone ON public.client_auth USING btree (phone);idx_client_auth_phone;public;client_auth
CREATE UNIQUE INDEX commission_closings_pkey ON public.commission_closings USING btree (id);commission_closings_pkey;public;commission_closings
CREATE INDEX idx_commission_closings_barber ON public.commission_closings USING btree (barber_id);idx_commission_closings_barber;public;commission_closings
CREATE INDEX idx_commission_closings_tenant ON public.commission_closings USING btree (tenant_id);idx_commission_closings_tenant;public;commission_closings
CREATE UNIQUE INDEX commission_entries_appointment_id_key ON public.commission_entries USING btree (appointment_id);commission_entries_appointment_id_key;public;commission_entries
CREATE UNIQUE INDEX commission_entries_pkey ON public.commission_entries USING btree (id);commission_entries_pkey;public;commission_entries
CREATE INDEX idx_commission_entries_barber ON public.commission_entries USING btree (barber_id);idx_commission_entries_barber;public;commission_entries
CREATE INDEX idx_commission_entries_earned_at ON public.commission_entries USING btree (earned_at);idx_commission_entries_earned_at;public;commission_entries
CREATE INDEX idx_commission_entries_status ON public.commission_entries USING btree (status);idx_commission_entries_status;public;commission_entries
CREATE INDEX idx_commission_entries_tenant ON public.commission_entries USING btree (tenant_id);idx_commission_entries_tenant;public;commission_entries
CREATE UNIQUE INDEX communication_channels_pkey ON public.communication_channels USING btree (id);communication_channels_pkey;public;communication_channels
CREATE UNIQUE INDEX communication_channels_tenant_id_type_key ON public.communication_channels USING btree (tenant_id, type);communication_channels_tenant_id_type_key;public;communication_channels
CREATE UNIQUE INDEX communication_messages_pkey ON public.communication_messages USING btree (id);communication_messages_pkey;public;communication_messages
CREATE UNIQUE INDEX communication_templates_pkey ON public.communication_templates USING btree (id);communication_templates_pkey;public;communication_templates
CREATE UNIQUE INDEX communication_templates_tenant_id_key_channel_type_key ON public.communication_templates USING btree (tenant_id, key, channel_type);communication_templates_tenant_id_key_channel_type_key;public;communication_templates
CREATE UNIQUE INDEX cookie_consents_pkey ON public.cookie_consents USING btree (id);cookie_consents_pkey;public;cookie_consents
CREATE INDEX idx_cookie_consents_created ON public.cookie_consents USING btree (created_at DESC);idx_cookie_consents_created;public;cookie_consents
CREATE INDEX idx_cookie_consents_customer ON public.cookie_consents USING btree (customer_id);idx_cookie_consents_customer;public;cookie_consents
CREATE INDEX idx_cookie_consents_tenant ON public.cookie_consents USING btree (tenant_id);idx_cookie_consents_tenant;public;cookie_consents
CREATE UNIQUE INDEX coupons_pkey ON public.coupons USING btree (id);coupons_pkey;public;coupons
CREATE UNIQUE INDEX coupons_tenant_id_code_key ON public.coupons USING btree (tenant_id, code);coupons_tenant_id_code_key;public;coupons
CREATE INDEX idx_coupons_applies_to ON public.coupons USING btree (tenant_id, applies_to, active);idx_coupons_applies_to;public;coupons
CREATE UNIQUE INDEX credit_transactions_pkey ON public.credit_transactions USING btree (id);credit_transactions_pkey;public;credit_transactions
CREATE UNIQUE INDEX unique_credit_used_per_appointment ON public.credit_transactions USING btree (appointment_id) WHERE ((type = ANY (ARRAY['used'::text, 'credit_used'::text])) AND (appointment_id IS NOT NULL));unique_credit_used_per_appointment;public;credit_transactions
CREATE UNIQUE INDEX customer_achievements_customer_id_achievement_id_key ON public.customer_achievements USING btree (customer_id, achievement_id);customer_achievements_customer_id_achievement_id_key;public;customer_achievements
CREATE UNIQUE INDEX customer_achievements_pkey ON public.customer_achievements USING btree (id);customer_achievements_pkey;public;customer_achievements
CREATE UNIQUE INDEX customer_credits_appointment_id_key ON public.customer_credits USING btree (appointment_id);customer_credits_appointment_id_key;public;customer_credits
CREATE UNIQUE INDEX customer_credits_payment_id_idx ON public.customer_credits USING btree (payment_id) WHERE (payment_id IS NOT NULL);customer_credits_payment_id_idx;public;customer_credits
CREATE UNIQUE INDEX customer_credits_pkey ON public.customer_credits USING btree (id);customer_credits_pkey;public;customer_credits
CREATE UNIQUE INDEX customer_documents_pkey ON public.customer_documents USING btree (id);customer_documents_pkey;public;customer_documents
CREATE UNIQUE INDEX customer_interactions_pkey ON public.customer_interactions USING btree (id);customer_interactions_pkey;public;customer_interactions
CREATE UNIQUE INDEX customer_subscriptions_pkey ON public.customer_subscriptions USING btree (id);customer_subscriptions_pkey;public;customer_subscriptions
CREATE INDEX idx_cust_subs_customer ON public.customer_subscriptions USING btree (customer_id);idx_cust_subs_customer;public;customer_subscriptions
